licensePlate,chassis,registrationNumber,model,brand,year
AAA0A00,1HGCM82633A000001,10000000001,Model1,Brand1,2016
AAB0A00,1HGCM82633A000002,10000000002,Model2,Brand2,2017
AAC0A00,1HGCM82633A000003,10000000003,Model3,Brand3,2018
AAD0A00,1HGCM82633A000004,10000000004,Model4,Brand4,2019
AAE0A00,1HGCM82633A000005,10000000005,Model5,Brand5,2020
AAF0A00,1HGCM82633A000006,10000000006,Model6,Brand6,2021
AAG0A00,1HGCM82633A000007,10000000007,Model7,Brand7,2022
AAH0A00,1HGCM82633A000008,10000000008,Model8,Brand8,2023
AAI0A00,1HGCM82633A000009,10000000009,Model9,Brand9,2024
AAJ0A00,1HGCM82633A000010,10000000010,Model10,Brand10,2015
AAK0A00,1HGCM82633A000011,10000000011,Model11,Brand11,2016
AAL0A00,1HGCM82633A000012,10000000012,Model12,Brand12,2017
AAM0A00,1HGCM82633A000013,10000000013,Model13,Brand13,2018
AAN0A00,1HGCM82633A000014,10000000014,Model14,Brand14,2019
AAO0A00,1HGCM82633A000015,10000000015,Model15,Brand15,2020
AAP0A00,1HGCM82633A000016,10000000016,Model16,Brand16,2021
AAQ0A00,1HGCM82633A000017,10000000017,Model17,Brand17,2022
AAR0A00,1HGCM82633A000018,10000000018,Model18,Brand18,2023
AAS0A00,1HGCM82633A000019,10000000019,Model19,Brand19,2024
AAT0A00,1HGCM82633A000020,10000000020,Model20,Brand20,2015
AAU0A00,1HGCM82633A000021,10000000021,Model21,Brand21,2016
AAV0A00,1HGCM82633A000022,10000000022,Model22,Brand22,2017
AAW0A00,1HGCM82633A000023,10000000023,Model23,Brand23,2018
AAX0A00,1HGCM82633A000024,10000000024,Model24,Brand24,2019
AAY0A00,1HGCM82633A000025,10000000025,Model25,Brand25,2020
AAZ0A00,1HGCM82633A000026,10000000026,Model26,Brand26,2021
ABA0A00,1HGCM82633A000027,10000000027,Model27,Brand27,2022
ABB0A00,1HGCM82633A000028,10000000028,Model28,Brand28,2023
ABC0A00,1HGCM82633A000029,10000000029,Model29,Brand29,2024
ABD0A00,1HGCM82633A000030,10000000030,Model30,Brand30,2015
ABE0A00,1HGCM82633A000031,10000000031,Model31,Brand31,2016
ABF0A00,1HGCM82633A000032,10000000032,Model32,Brand32,2017
ABG0A00,1HGCM82633A000033,10000000033,Model33,Brand33,2018
ABH0A00,1HGCM82633A000034,10000000034,Model34,Brand34,2019
ABI0A00,1HGCM82633A000035,10000000035,Model35,Brand35,2020
ABJ0A00,1HGCM82633A000036,10000000036,Model36,Brand36,2021
ABK0A00,1HGCM82633A000037,10000000037,Model37,Brand37,2022
ABL0A00,1HGCM82633A000038,10000000038,Model38,Brand38,2023
ABM0A00,1HGCM82633A000039,10000000039,Model39,Brand39,2024
ABN0A00,1HGCM82633A000040,10000000040,Model40,Brand40,2015
ABO0A00,1HGCM82633A000041,10000000041,Model41,Brand41,2016
ABP0A00,1HGCM82633A000042,10000000042,Model42,Brand42,2017
ABQ0A00,1HGCM82633A000043,10000000043,Model43,Brand43,2018
ABR0A00,1HGCM82633A000044,10000000044,Model44,Brand44,2019
ABS0A00,1HGCM82633A000045,10000000045,Model45,Brand45,2020
ABT0A00,1HGCM82633A000046,10000000046,Model46,Brand46,2021
ABU0A00,1HGCM82633A000047,10000000047,Model47,Brand47,2022
ABV0A00,1HGCM82633A000048,10000000048,Model48,Brand48,2023
ABW0A00,1HGCM82633A000049,10000000049,Model49,Brand49,2024
ABX0A00,1HGCM82633A000050,10000000050,Model50,Brand50,2015
